budget,seed,model,experiment_name,summary_path,summary_exists,summary_parseable,has_validation_loss,has_test_loss,has_validation_perplexity,has_test_perplexity,has_tokens_per_second,has_peak_memory,has_total_parameters,has_trainable_parameters,has_activated_parameters,has_tokens_per_total_parameter,has_tokens_per_activated_parameter,has_routing_or_expert_metric,has_mtp_metric
10m,1337,dense_121m,main_large_10m_00_dense_121m,results/metrics/main_large_10m_00_dense_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,1337,mla_121m,main_large_10m_01_mla_121m,results/metrics/main_large_10m_01_mla_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,1337,mtp_121m,main_large_10m_02_mtp_121m,results/metrics/main_large_10m_02_mtp_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,1337,moe_220m,main_large_10m_03_moe_220m,results/metrics/main_large_10m_03_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,1337,mla_moe_220m,main_large_10m_04_mla_moe_220m,results/metrics/main_large_10m_04_mla_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,1337,v3_routing_220m,main_large_10m_05_v3_routing_220m,results/metrics/main_large_10m_05_v3_routing_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,2027,dense_121m,main_large_10m_seed2027_00_dense_121m,results/metrics/main_large_10m_seed2027_00_dense_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,2027,mla_121m,main_large_10m_seed2027_01_mla_121m,results/metrics/main_large_10m_seed2027_01_mla_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,2027,mtp_121m,main_large_10m_seed2027_02_mtp_121m,results/metrics/main_large_10m_seed2027_02_mtp_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,2027,moe_220m,main_large_10m_seed2027_03_moe_220m,results/metrics/main_large_10m_seed2027_03_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,2027,mla_moe_220m,main_large_10m_seed2027_04_mla_moe_220m,results/metrics/main_large_10m_seed2027_04_mla_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10m,2027,v3_routing_220m,main_large_10m_seed2027_05_v3_routing_220m,results/metrics/main_large_10m_seed2027_05_v3_routing_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
