metric,metric_group,metric_direction,budget,seed,model,value
validation_loss,quality,lower_is_better,10m,1337,dense_121m,5.010542912483215
validation_loss,quality,lower_is_better,10m,1337,mla_121m,5.082375574111938
validation_loss,quality,lower_is_better,10m,1337,mtp_121m,5.009670815467834
validation_loss,quality,lower_is_better,10m,1337,moe_220m,4.982740073204041
validation_loss,quality,lower_is_better,10m,1337,mla_moe_220m,5.0005859804153445
validation_loss,quality,lower_is_better,10m,1337,v3_routing_220m,4.955051074028015
validation_loss,quality,lower_is_better,10m,2027,dense_121m,5.03985182762146
validation_loss,quality,lower_is_better,10m,2027,mla_121m,5.088137555122375
validation_loss,quality,lower_is_better,10m,2027,mtp_121m,5.045757584571838
validation_loss,quality,lower_is_better,10m,2027,moe_220m,4.967903270721435
validation_loss,quality,lower_is_better,10m,2027,mla_moe_220m,5.024278535842895
validation_loss,quality,lower_is_better,10m,2027,v3_routing_220m,4.973963537216187
validation_loss,quality,lower_is_better,10m,31415,dense_121m,5.002737498283386
validation_loss,quality,lower_is_better,10m,31415,mla_121m,5.076140112876892
validation_loss,quality,lower_is_better,10m,31415,mtp_121m,5.054121799468994
validation_loss,quality,lower_is_better,10m,31415,moe_220m,4.961135277748108
validation_loss,quality,lower_is_better,10m,31415,mla_moe_220m,5.037221875190735
validation_loss,quality,lower_is_better,10m,31415,v3_routing_220m,4.969941239356995
validation_loss,quality,lower_is_better,10m,4441,dense_121m,5.00126169204712
validation_loss,quality,lower_is_better,10m,4441,mla_121m,5.016890120506287
validation_loss,quality,lower_is_better,10m,4441,mtp_121m,5.029954085350036
validation_loss,quality,lower_is_better,10m,4441,moe_220m,4.976585335731507
validation_loss,quality,lower_is_better,10m,4441,mla_moe_220m,4.994745092391968
validation_loss,quality,lower_is_better,10m,4441,v3_routing_220m,4.985671200752258
validation_loss,quality,lower_is_better,10m,5501,dense_121m,5.028018565177917
validation_loss,quality,lower_is_better,10m,5501,mla_121m,5.081126089096069
validation_loss,quality,lower_is_better,10m,5501,mtp_121m,4.991040110588074
validation_loss,quality,lower_is_better,10m,5501,moe_220m,4.968844532966614
validation_loss,quality,lower_is_better,10m,5501,mla_moe_220m,5.026114430427551
validation_loss,quality,lower_is_better,10m,5501,v3_routing_220m,4.985244517326355
validation_loss,quality,lower_is_better,10m,6173,dense_121m,5.023905034065247
validation_loss,quality,lower_is_better,10m,6173,mla_121m,5.138198909759521
validation_loss,quality,lower_is_better,10m,6173,mtp_121m,5.011355180740356
validation_loss,quality,lower_is_better,10m,6173,moe_220m,4.983359966278076
validation_loss,quality,lower_is_better,10m,6173,mla_moe_220m,4.992975482940674
validation_loss,quality,lower_is_better,10m,6173,v3_routing_220m,4.991824941635132
validation_loss,quality,lower_is_better,10m,8191,dense_121m,5.010300731658935
validation_loss,quality,lower_is_better,10m,8191,mla_121m,5.084102411270141
