budget,max_tokens,seed,model,slot,experiment_name,experiment_config,train_config,model_config,summary_path,status
10m,10000000,1337,dense_121m,00,main_large_10m_00_dense_121m,configs/experiment/main_large_10m_00_dense_121m.yaml,configs/train/main_large_10m.yaml,configs/model/dense_121m.yaml,results/metrics/main_large_10m_00_dense_121m/summary.json,complete_existing_summary
10m,10000000,1337,mla_121m,01,main_large_10m_01_mla_121m,configs/experiment/main_large_10m_01_mla_121m.yaml,configs/train/main_large_10m.yaml,configs/model/mla_121m.yaml,results/metrics/main_large_10m_01_mla_121m/summary.json,complete_existing_summary
10m,10000000,1337,mtp_121m,02,main_large_10m_02_mtp_121m,configs/experiment/main_large_10m_02_mtp_121m.yaml,configs/train/main_large_10m.yaml,configs/model/mtp_121m.yaml,results/metrics/main_large_10m_02_mtp_121m/summary.json,complete_existing_summary
10m,10000000,1337,moe_220m,03,main_large_10m_03_moe_220m,configs/experiment/main_large_10m_03_moe_220m.yaml,configs/train/main_large_10m.yaml,configs/model/moe_220m.yaml,results/metrics/main_large_10m_03_moe_220m/summary.json,complete_existing_summary
10m,10000000,1337,mla_moe_220m,04,main_large_10m_04_mla_moe_220m,configs/experiment/main_large_10m_04_mla_moe_220m.yaml,configs/train/main_large_10m.yaml,configs/model/mla_moe_220m.yaml,results/metrics/main_large_10m_04_mla_moe_220m/summary.json,complete_existing_summary
10m,10000000,1337,v3_routing_220m,05,main_large_10m_05_v3_routing_220m,configs/experiment/main_large_10m_05_v3_routing_220m.yaml,configs/train/main_large_10m.yaml,configs/model/v3_routing_220m.yaml,results/metrics/main_large_10m_05_v3_routing_220m/summary.json,complete_existing_summary
10m,10000000,2027,dense_121m,00,main_large_10m_seed2027_00_dense_121m,configs/experiment/main_large_10m_seed2027_00_dense_121m.yaml,configs/train/main_large_10m_seed2027.yaml,configs/model/dense_121m.yaml,results/metrics/main_large_10m_seed2027_00_dense_121m/summary.json,queued_missing_summary
10m,10000000,2027,mla_121m,01,main_large_10m_seed2027_01_mla_121m,configs/experiment/main_large_10m_seed2027_01_mla_121m.yaml,configs/train/main_large_10m_seed2027.yaml,configs/model/mla_121m.yaml,results/metrics/main_large_10m_seed2027_01_mla_121m/summary.json,queued_missing_summary
10m,10000000,2027,mtp_121m,02,main_large_10m_seed2027_02_mtp_121m,configs/experiment/main_large_10m_seed2027_02_mtp_121m.yaml,configs/train/main_large_10m_seed2027.yaml,configs/model/mtp_121m.yaml,results/metrics/main_large_10m_seed2027_02_mtp_121m/summary.json,queued_missing_summary
10m,10000000,2027,moe_220m,03,main_large_10m_seed2027_03_moe_220m,configs/experiment/main_large_10m_seed2027_03_moe_220m.yaml,configs/train/main_large_10m_seed2027.yaml,configs/model/moe_220m.yaml,results/metrics/main_large_10m_seed2027_03_moe_220m/summary.json,queued_missing_summary
