model,budget,budget_tokens,mechanism_family,attention_mechanism,ffn_mechanism,routing_mechanism,objective_mechanism,has_mla,has_moe,has_v3_routing,has_mtp,activated_to_total_parameter_ratio_mean,activated_to_trainable_parameter_ratio_mean,total_to_activated_parameter_ratio_mean,peak_memory_gib_mean,test_minus_validation_loss_gap_mean,validation_loss__non_missing_seed_count,validation_loss__mean,validation_loss__std,validation_loss__ci95_low,validation_loss__ci95_high,test_loss__non_missing_seed_count,test_loss__mean,test_loss__std,test_loss__ci95_low,test_loss__ci95_high,validation_perplexity__non_missing_seed_count,validation_perplexity__mean,validation_perplexity__std,validation_perplexity__ci95_low,validation_perplexity__ci95_high,test_perplexity__non_missing_seed_count,test_perplexity__mean,test_perplexity__std,test_perplexity__ci95_low,test_perplexity__ci95_high,train_loss__non_missing_seed_count,train_loss__mean,train_loss__std,train_loss__ci95_low,train_loss__ci95_high,lm_loss__non_missing_seed_count,lm_loss__mean,lm_loss__std,lm_loss__ci95_low,lm_loss__ci95_high,final_aux_loss__non_missing_seed_count,final_aux_loss__mean,final_aux_loss__std,final_aux_loss__ci95_low,final_aux_loss__ci95_high,train_tokens_per_second__non_missing_seed_count,train_tokens_per_second__mean,train_tokens_per_second__std,train_tokens_per_second__ci95_low,train_tokens_per_second__ci95_high,active_end_to_end_tokens_per_second__non_missing_seed_count,active_end_to_end_tokens_per_second__mean,active_end_to_end_tokens_per_second__std,active_end_to_end_tokens_per_second__ci95_low,active_end_to_end_tokens_per_second__ci95_high,peak_memory_bytes__non_missing_seed_count,peak_memory_bytes__mean,peak_memory_bytes__std,peak_memory_bytes__ci95_low,peak_memory_bytes__ci95_high,evaluation_peak_memory_bytes__non_missing_seed_count,evaluation_peak_memory_bytes__mean,evaluation_peak_memory_bytes__std,evaluation_peak_memory_bytes__ci95_low,evaluation_peak_memory_bytes__ci95_high,total_parameters__non_missing_seed_count,total_parameters__mean,total_parameters__std,total_parameters__ci95_low,total_parameters__ci95_high,trainable_parameters__non_missing_seed_count,trainable_parameters__mean,trainable_parameters__std,trainable_parameters__ci95_low,trainable_parameters__ci95_high,activated_parameters_per_token__non_missing_seed_count,activated_parameters_per_token__mean,activated_parameters_per_token__std,activated_parameters_per_token__ci95_low,activated_parameters_per_token__ci95_high,tokens_per_total_parameter__non_missing_seed_count,tokens_per_total_parameter__mean,tokens_per_total_parameter__std,tokens_per_total_parameter__ci95_low,tokens_per_total_parameter__ci95_high,tokens_per_trainable_parameter__non_missing_seed_count,tokens_per_trainable_parameter__mean,tokens_per_trainable_parameter__std,tokens_per_trainable_parameter__ci95_low,tokens_per_trainable_parameter__ci95_high,tokens_per_activated_parameter__non_missing_seed_count,tokens_per_activated_parameter__mean,tokens_per_activated_parameter__std,tokens_per_activated_parameter__ci95_low,tokens_per_activated_parameter__ci95_high,requested_tokens_per_total_parameter__non_missing_seed_count,requested_tokens_per_total_parameter__mean,requested_tokens_per_total_parameter__std,requested_tokens_per_total_parameter__ci95_low,requested_tokens_per_total_parameter__ci95_high,requested_tokens_per_trainable_parameter__non_missing_seed_count,requested_tokens_per_trainable_parameter__mean,requested_tokens_per_trainable_parameter__std,requested_tokens_per_trainable_parameter__ci95_low,requested_tokens_per_trainable_parameter__ci95_high,requested_tokens_per_activated_parameter__non_missing_seed_count,requested_tokens_per_activated_parameter__mean,requested_tokens_per_activated_parameter__std,requested_tokens_per_activated_parameter__ci95_low,requested_tokens_per_activated_parameter__ci95_high,mean_aux_loss__non_missing_seed_count,mean_aux_loss__mean,mean_aux_loss__std,mean_aux_loss__ci95_low,mean_aux_loss__ci95_high,mean_expert_load_variance__non_missing_seed_count,mean_expert_load_variance__mean,mean_expert_load_variance__std,mean_expert_load_variance__ci95_low,mean_expert_load_variance__ci95_high,mean_routing_entropy__non_missing_seed_count,mean_routing_entropy__mean,mean_routing_entropy__std,mean_routing_entropy__ci95_low,mean_routing_entropy__ci95_high,mean_router_probability__non_missing_seed_count,mean_router_probability__mean,mean_router_probability__std,mean_router_probability__ci95_low,mean_router_probability__ci95_high,expert_bias_mean__non_missing_seed_count,expert_bias_mean__mean,expert_bias_mean__std,expert_bias_mean__ci95_low,expert_bias_mean__ci95_high,expert_bias_std__non_missing_seed_count,expert_bias_std__mean,expert_bias_std__std,expert_bias_std__ci95_low,expert_bias_std__ci95_high,mtp_loss__non_missing_seed_count,mtp_loss__mean,mtp_loss__std,mtp_loss__ci95_low,mtp_loss__ci95_high,mtp_loss_weight__non_missing_seed_count,mtp_loss_weight__mean,mtp_loss_weight__std,mtp_loss_weight__ci95_low,mtp_loss_weight__ci95_high,mtp_auxiliary_head_count__non_missing_seed_count,mtp_auxiliary_head_count__mean,mtp_auxiliary_head_count__std,mtp_auxiliary_head_count__ci95_low,mtp_auxiliary_head_count__ci95_high
dense_121m,10m,10000000,dense_baseline,standard_attention,dense_ffn,none,next_token_prediction,False,False,False,False,1.0,1.0,1.0,2.8780574798583984,-0.025269707202911995,10,5.0227198314666754,0.016563342210202406,5.010871130230951,5.0345685327024,10,4.9974501242637634,0.015195339610131515,4.986580033135361,5.008320215392166,10,151.8424388311351,2.518409037462729,150.04087753417275,153.64400012809745,10,148.05060434261964,2.2531766399426614,146.43877887290563,149.66242981233364,10,5.0202264308929445,0.15589870361276545,4.9087032166345,5.131749645151389,10,5.0202264308929445,0.15589870361276545,4.9087032166345,5.131749645151389,0,,,,,10,4183.045901652817,13.900729948957308,4173.101918486048,4192.989884819585,10,3996.4187474271594,21.006940257566264,3981.3912876409763,4011.4462072133424,10,3090290688.0,0.0,3090290688.0,3090290688.0,10,2155770368.0,0.0,2155770368.0,2155770368.0,10,120945408.0,0.0,120945408.0,120945408.0,10,120945408.0,0.0,120945408.0,120945408.0,10,120945408.0,0.0,120945408.0,120945408.0,10,0.08268510698645128,0.0,0.08268510698645128,0.08268510698645128,10,0.08268510698645128,0.0,0.08268510698645128,0.08268510698645128,10,0.08268510698645128,0.0,0.08268510698645128,0.08268510698645128,10,0.08268193200026247,0.0,0.08268193200026247,0.08268193200026247,10,0.08268193200026247,0.0,0.08268193200026247,0.08268193200026247,10,0.08268193200026247,0.0,0.08268193200026247,0.08268193200026247,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0
mla_121m,10m,10000000,mla_attention,mla,dense_ffn,none,next_token_prediction,True,False,False,False,1.0,1.0,1.0,3.3092098236083984,-0.021649708271026746,10,5.076782487869263,0.03181042527164432,5.054026680469904,5.099538295268622,10,5.055132779598236,0.028181163577579386,5.034973189615235,5.075292369581237,10,160.33051622576696,5.094441480291827,156.68617233086894,163.97486012066497,10,156.88159493409142,4.4442583592233795,153.70236402498352,160.06082584319932,10,5.044100761413574,0.18250164673072947,4.91354694807703,5.174654574750118,10,5.044100761413574,0.18250164673072947,4.91354694807703,5.174654574750118,0,,,,,10,3655.266577959335,12.039897397958436,3646.653754208745,3663.879401709925,10,3498.167715380122,14.996204565719545,3487.440076880957,3508.895353879287,10,3553236992.0,0.0,3553236992.0,3553236992.0,10,2471604736.0,0.0,2471604736.0,2471604736.0,10,137460480.0,0.0,137460480.0,137460480.0,10,137460480.0,0.0,137460480.0,137460480.0,10,137460480.0,0.0,137460480.0,137460480.0,10,0.07275097540762261,0.0,0.07275097540762261,0.07275097540762261,10,0.07275097540762261,0.0,0.07275097540762261,0.07275097540762261,10,0.07275097540762261,0.0,0.07275097540762261,0.07275097540762261,10,0.07274818187743852,0.0,0.07274818187743852,0.07274818187743852,10,0.07274818187743852,0.0,0.07274818187743852,0.07274818187743852,10,0.07274818187743852,0.0,0.07274818187743852,0.07274818187743852,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0
mtp_121m,10m,10000000,mtp_objective,standard_attention,dense_ffn,none,multi_token_prediction,False,False,False,True,1.0,1.0,1.0,3.249030590057373,-0.02433573770523001,10,5.022073311805725,0.021559297885742765,5.006650719175671,5.037495904435779,10,4.997737574100495,0.020717711644374304,4.982917016000158,5.012558132200832,10,151.75724376734155,3.2646228834142463,149.42187324236036,154.09261429232274,10,148.10638284666805,3.070710213333559,145.9097290893808,150.30303660395532,10,7.024555730819702,0.19142501340456908,6.88761852550868,7.161492936130724,10,4.998446941375732,0.15977810762496603,4.88414856866618,5.112745314085285,0,,,,,10,3619.36496401507,8.467284813573219,3613.3078333490134,3625.422094681127,10,3481.063062120432,11.990318371479093,3472.4857050688242,3489.6404191720394,10,3488620032.0,0.0,3488620032.0,3488620032.0,10,2407363072.0,0.0,2407363072.0,2407363072.0,10,136305408.0,0.0,136305408.0,136305408.0,10,136305408.0,0.0,136305408.0,136305408.0,10,136305408.0,0.0,136305408.0,136305408.0,10,0.07336747783330798,0.0,0.07336747783330798,0.07336747783330798,10,0.07336747783330798,0.0,0.07336747783330798,0.07336747783330798,10,0.07336747783330798,0.0,0.07336747783330798,0.07336747783330798,10,0.07336466063033978,0.0,0.07336466063033978,0.07336466063033978,10,0.07336466063033978,0.0,0.07336466063033978,0.07336466063033978,10,0.07336466063033978,0.0,0.07336466063033978,0.07336466063033978,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,10,6.753695869445801,0.1303035343720431,6.6604823362627315,6.846909402628871,10,0.3,0.0,0.3,0.3,10,2.0,0.0,2.0,2.0
moe_220m,10m,10000000,sparse_moe,standard_attention,moe_ffn,standard_moe_routing,next_token_prediction,False,True,False,False,0.3569836280607991,0.3569836280607991,2.8012489128204128,4.336396980285644,-0.02650884580612267,10,4.970074525356293,0.00896894986123004,4.96365852513392,4.976490525578666,10,4.94356567955017,0.011227821958450764,4.935533779573387,4.951597579526954,10,144.04283767162065,1.2927163268907267,143.11808411974172,144.96759122349957,10,140.27745681621968,1.5703541881673744,139.15409310292262,141.40082052951675,10,5.078613519668579,0.16653246651092377,4.9594833696846745,5.197743669652484,10,4.956541395187378,0.1662699495217881,4.837599038544581,5.075483751830174,10,0.12207202464342118,0.0006544557163487522,0.12160385522709097,0.12254019405975139,10,2180.4413898905577,15.58727566429059,2169.290924599121,2191.5918551819946,10,2092.492299866983,15.045864237066443,2081.7291369789727,2103.2554627549935,10,4656170803.2,3229438.4132889044,4653860602.128705,4658481004.271295,10,3797211033.6,3008866.33223889,3795058620.2901444,3799363446.9098554,10,220146432.0,0.0,220146432.0,220146432.0,10,220146432.0,0.0,220146432.0,220146432.0,10,78588672.0,0.0,78588672.0,78588672.0,10,0.04542605532666548,0.0,0.04542605532666548,0.04542605532666548,10,0.04542605532666548,0.0,0.04542605532666548,0.04542605532666548,10,0.12724968809754159,0.0,0.12724968809754159,0.12724968809754159,10,0.045424311033121806,0.0,0.045424311033121806,0.045424311033121806,10,0.045424311033121806,0.0,0.045424311033121806,0.045424311033121806,10,0.12724480189714873,0.0,0.12724480189714873,0.12724480189714873,10,0.010058350342224107,9.499632497014543e-06,0.010051554714513357,0.010065145969934857,10,6.248592423068153e-05,7.55189215126071e-06,5.708362602726815e-05,6.78882224340949e-05,10,1.5728301532914242,0.012907216348473834,1.5635968869399195,1.5820634196429288,0,,,,,0,,,,,0,,,,,0,,,,,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0
mla_moe_220m,10m,10000000,mla_plus_moe,mla,moe_ffn,standard_moe_routing,next_token_prediction,True,True,False,False,0.4018555717452045,0.4018555717452045,2.4884562273384314,4.64429931640625,-0.024127675056456965,10,5.021640481948852,0.02345002083442792,5.004865347600212,5.038415616297492,10,4.997512806892395,0.022903007826520275,4.981128982076608,5.013896631708183,10,151.69746564594823,3.562559025091323,149.1489644444855,154.24596684741095,10,148.07947448527148,3.3973806686418166,145.6491347618088,150.50981420873416,10,5.125096559524536,0.15087838783753227,5.017164662825967,5.2330284562231055,10,5.0029520988464355,0.15107708277988754,4.894878064348674,5.111026133344197,10,0.12214449420571327,0.00046169596158127286,0.1218142168111457,0.12247477160028085,10,2039.9560731307586,10.382139011825329,2032.5291382900898,2047.3830079714273,10,1956.2882868455738,10.190812813143724,1948.9982185224214,1963.5783551687261,10,4986778419.2,4113735.903153207,4983835629.812414,4989721208.587585,10,4094936166.4,3315731.8952391925,4092564234.6904535,4097308098.1095467,10,236661504.0,0.0,236661504.0,236661504.0,10,236661504.0,0.0,236661504.0,236661504.0,10,95103744.0,0.0,95103744.0,95103744.0,10,0.04225606543935426,0.0,0.04225606543935426,0.04225606543935426,10,0.04225606543935426,0.0,0.04225606543935426,0.04225606543935426,10,0.10515236918538137,0.0,0.10515236918538137,0.10515236918538137,10,0.0422544428687481,0.0,0.0422544428687481,0.0422544428687481,10,0.0422544428687481,0.0,0.0422544428687481,0.0422544428687481,10,0.1051483314894522,0.0,0.1051483314894522,0.1051483314894522,10,0.010053555162755846,1.2773255528967675e-05,0.010044417726201701,0.01006269259930999,10,6.085380183325875e-05,4.602262398655472e-06,5.7561541643374703e-05,6.414606202314278e-05,10,1.483565821071466,0.022344564045257087,1.4675814828711917,1.4995501592717402,0,,,,,0,,,,,0,,,,,0,,,,,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0
v3_routing_220m,10m,10000000,v3_style_routing,standard_attention,moe_ffn,v3_style_routing,next_token_prediction,False,True,True,False,0.3569836280607991,0.3569836280607991,2.8012489128204128,4.335570335388184,-0.027873629570007274,10,4.979385396957397,0.014018954743522914,4.969356840867381,4.989413953047413,10,4.95151176738739,0.012575633323602217,4.942515701242624,4.960507833532156,10,145.39787219063066,2.0416893693964413,143.93733560042295,146.85840878083837,10,141.3985735774652,1.7681735870298778,140.13369839106045,142.66344876386998,10,4.962110185623169,0.16119750634225188,4.846796436238906,5.077423935007433,10,4.962110185623169,0.16119750634225188,4.846796436238906,5.077423935007433,10,0.0,0.0,0.0,0.0,10,2147.3497456897685,119.06982367060492,2062.172325036446,2232.527166343091,10,2061.1496890084636,116.39110694787351,1977.8885068618379,2144.4108711550894,10,4655283200.0,3554876.1371839666,4652740194.805459,4657826205.194541,10,3796297420.8,3521405.389688005,3793778359.1358285,3798816482.464172,10,220146432.0,0.0,220146432.0,220146432.0,10,220146432.0,0.0,220146432.0,220146432.0,10,78588672.0,0.0,78588672.0,78588672.0,10,0.04542605532666548,0.0,0.04542605532666548,0.04542605532666548,10,0.04542605532666548,0.0,0.04542605532666548,0.04542605532666548,10,0.12724968809754159,0.0,0.12724968809754159,0.12724968809754159,10,0.045424311033121806,0.0,0.045424311033121806,0.045424311033121806,10,0.045424311033121806,0.0,0.045424311033121806,0.045424311033121806,10,0.12724480189714873,0.0,0.12724480189714873,0.12724480189714873,10,0.0,0.0,0.0,0.0,10,7.5958042939504e-05,1.5143185288286503e-05,6.512526076540886e-05,8.679082511359914e-05,10,1.3061229481697083,0.018119240512067387,1.2931612243387853,1.3190846720006313,0,,,,,0,,,,,0,,,,,0,,,,,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0
dense_121m,25m,25000000,dense_baseline,standard_attention,dense_ffn,none,next_token_prediction,False,False,False,False,1.0,1.0,1.0,2.8780574798583984,-0.03678927826881484,10,4.596816851139069,0.009960965914578087,4.589691205382118,4.60394249689602,10,4.560027572870254,0.01084403104905481,4.552270220370949,4.567784925369559,10,99.17259521985936,0.9951042637545773,98.46074051263967,99.88444992707905,10,95.59120041355956,1.044858522199651,94.84375365396065,96.33864717315848,10,4.619069194793701,0.19522136960460273,4.479416239857529,4.758722149729873,10,4.619069194793701,0.19522136960460273,4.479416239857529,4.758722149729873,0,,,,,10,4187.878071060675,12.786526613402419,4178.731140944631,4197.025001176719,10,4102.152196490071,11.798643546995695,4093.711955347855,4110.592437632287,10,3090290688.0,0.0,3090290688.0,3090290688.0,10,2155770368.0,0.0,2155770368.0,2155770368.0,10,120945408.0,0.0,120945408.0,120945408.0,10,120945408.0,0.0,120945408.0,120945408.0,10,120945408.0,0.0,120945408.0,120945408.0,10,0.20671276746612816,0.0,0.20671276746612816,0.20671276746612816,10,0.20671276746612816,0.0,0.20671276746612816,0.20671276746612816,10,0.20671276746612816,0.0,0.20671276746612816,0.20671276746612816,10,0.20670483000065615,0.0,0.20670483000065615,0.20670483000065615,10,0.20670483000065615,0.0,0.20670483000065615,0.20670483000065615,10,0.20670483000065615,0.0,0.20670483000065615,0.20670483000065615,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0
mla_121m,25m,25000000,mla_attention,mla,dense_ffn,none,next_token_prediction,True,False,False,False,1.0,1.0,1.0,3.3092098236083984,-0.03740285348892236,10,4.6418686509132385,0.016259104018910737,4.6302375885687095,4.653499713257768,10,4.604465797424316,0.014967205536264919,4.593758903581137,4.615172691267495,10,103.75039083495635,1.6936658408181198,102.53881527935114,104.96196639056156,10,99.93966551142272,1.4970343278299572,98.8687516665615,101.01057935628394,10,4.677301454544067,0.18000433862530624,4.548534107807029,4.806068801281105,10,4.677301454544067,0.18000433862530624,4.548534107807029,4.806068801281105,0,,,,,10,3653.6998982373384,15.794953039706941,3642.4008695011876,3664.9989269734892,10,3579.887709774277,15.861915963782018,3568.5407786479464,3591.2346409006077,10,3553236992.0,0.0,3553236992.0,3553236992.0,10,2471604736.0,0.0,2471604736.0,2471604736.0,10,137460480.0,0.0,137460480.0,137460480.0,10,137460480.0,0.0,137460480.0,137460480.0,10,137460480.0,0.0,137460480.0,137460480.0,10,0.18187743851905652,0.0,0.18187743851905652,0.18187743851905652,10,0.18187743851905652,0.0,0.18187743851905652,0.18187743851905652,10,0.18187743851905652,0.0,0.18187743851905652,0.18187743851905652,10,0.1818704546935963,0.0,0.1818704546935963,0.1818704546935963,10,0.1818704546935963,0.0,0.1818704546935963,0.1818704546935963,10,0.1818704546935963,0.0,0.1818704546935963,0.1818704546935963,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0
mtp_121m,25m,25000000,mtp_objective,standard_attention,dense_ffn,none,multi_token_prediction,False,False,False,True,1.0,1.0,1.0,3.249030590057373,-0.0365990233421325,10,4.58753363275528,0.01235591347579422,4.578694744721018,4.596372520789542,10,4.550934609413147,0.012566438676283499,4.541945120722838,4.559924098103457,10,98.25853131864406,1.2073856919294323,97.39481962577402,99.1222430115141,10,94.72761484862026,1.187656530993924,93.87801654727409,95.57721314996644,10,6.596292161941529,0.21093122248044543,6.445401055259124,6.7471832686239335,10,4.612645673751831,0.1792942530979992,4.484386291600568,4.740905055903093,0,,,,,10,3613.671624698357,13.690014036173778,3603.8783786149925,3623.4648707817214,10,3548.2149201833113,14.693788905696062,3537.7036168150125,3558.72622355161,10,3488620032.0,0.0,3488620032.0,3488620032.0,10,2407363072.0,0.0,2407363072.0,2407363072.0,10,136305408.0,0.0,136305408.0,136305408.0,10,136305408.0,0.0,136305408.0,136305408.0,10,136305408.0,0.0,136305408.0,136305408.0,10,0.18341869458326995,0.0,0.18341869458326995,0.18341869458326995,10,0.18341869458326995,0.0,0.18341869458326995,0.18341869458326995,10,0.18341869458326995,0.0,0.18341869458326995,0.18341869458326995,10,0.18341165157584943,0.0,0.18341165157584943,0.18341165157584943,10,0.18341165157584943,0.0,0.18341165157584943,0.18341165157584943,10,0.18341165157584943,0.0,0.18341165157584943,0.18341165157584943,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,10,6.612154865264893,0.1350438229298754,6.51555033392577,6.708759396604016,10,0.3,0.0,0.3,0.3,10,2.0,0.0,2.0,2.0
moe_220m,25m,25000000,sparse_moe,standard_attention,moe_ffn,standard_moe_routing,next_token_prediction,False,True,False,False,0.3569836280607991,0.3569836280607991,2.8012489128204128,4.336396980285644,-0.035916493177413855,10,4.573995110511779,0.014623611097096915,4.563534009323506,4.5844562117000525,10,4.5380786173343655,0.010259916531464,4.5307391151890855,4.5454181194796455,10,96.9399217633304,1.4193991849367933,95.92454475408242,97.95529877257839,10,93.5153935313225,0.9616814145974261,92.827448090064,94.20333897258101,10,4.744822978973389,0.18790877491223165,4.610401139150836,4.879244818795941,10,4.6229567527771,0.18768222488814973,4.488696977078818,4.757216528475381,10,0.12186619192361832,0.0004709036432186282,0.12152932775040365,0.12220305609683299,10,2179.276238497395,7.173160975988702,2174.144868255712,2184.4076087390777,10,2139.047964056026,7.128331809910078,2133.9486626678854,2144.147265444167,10,4656170803.2,3229438.4132889044,4653860602.128705,4658481004.271295,10,3797211033.6,3008866.33223889,3795058620.2901444,3799363446.9098554,10,220146432.0,0.0,220146432.0,220146432.0,10,220146432.0,0.0,220146432.0,220146432.0,10,78588672.0,0.0,78588672.0,78588672.0,10,0.1135651383166637,0.0,0.1135651383166637,0.1135651383166637,10,0.1135651383166637,0.0,0.1135651383166637,0.1135651383166637,10,0.31812422024385395,0.0,0.31812422024385395,0.31812422024385395,10,0.11356077758280451,0.0,0.11356077758280451,0.11356077758280451,10,0.11356077758280451,0.0,0.11356077758280451,0.11356077758280451,10,0.3181120047428718,0.0,0.3181120047428718,0.3181120047428718,10,0.010036166993438586,9.3863829794668e-06,0.01002945237955231,0.010042881607324862,10,4.8944900433222454e-05,7.057593542888876e-06,4.3896202152910616e-05,5.399359871353429e-05,10,1.7517653113404912,0.014062885247797897,1.7417053292608604,1.761825293420122,0,,,,,0,,,,,0,,,,,0,,,,,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0
