metric,metric_group,non_missing_count,missing_count,total_rows,available_for_all_rows,is_primary_metric
activated_parameters_per_token,efficiency,180,0,180,True,True
expert_bias_mean,routing,0,180,180,False,False
expert_bias_std,routing,0,180,180,False,False
lm_loss,optimization,180,0,180,True,False
mean_aux_loss,routing,90,90,180,False,False
mean_expert_load_variance,routing,90,90,180,False,False
mean_router_probability,routing,0,180,180,False,False
mean_routing_entropy,routing,90,90,180,False,False
mtp_loss,mtp,30,150,180,False,False
mtp_loss_weight,mtp,180,0,180,True,False
mtp_num_future_tokens,mtp,180,0,180,True,False
peak_memory_bytes,efficiency,180,0,180,True,True
requested_tokens_per_activated_parameter,efficiency,180,0,180,True,False
requested_tokens_per_total_parameter,efficiency,180,0,180,True,False
requested_tokens_per_trainable_parameter,efficiency,180,0,180,True,False
test_loss,quality,180,0,180,True,True
test_perplexity,quality,180,0,180,True,True
tokens_per_activated_parameter,efficiency,180,0,180,True,True
tokens_per_total_parameter,efficiency,180,0,180,True,True
tokens_per_trainable_parameter,efficiency,180,0,180,True,True
total_parameters,efficiency,180,0,180,True,True
train_loss,optimization,180,0,180,True,False
train_tokens_per_second,efficiency,180,0,180,True,True
trainable_parameters,efficiency,180,0,180,True,True
validation_loss,quality,180,0,180,True,True
validation_perplexity,quality,180,0,180,True,True
