metric,metric_group,metric_direction,budget,contrast_id,contrast_family,model_a,model_b,interpretation,pair_count,model_a_mean,model_b_mean,mean_difference_model_b_minus_model_a,median_difference_model_b_minus_model_a,relative_change_percent,std_difference,standard_error_difference,paired_t_ci95_low,paired_t_ci95_high,bootstrap_reps,bootstrap_ci95_low,bootstrap_ci95_high,min_difference,max_difference,paired_cohens_dz,model_b_better_seed_count,model_a_better_seed_count,tie_seed_count,model_b_better_seed_fraction,exact_sign_flip_p_value,holm_p_by_metric_budget,holm_p_by_metric_all_budgets,holm_p_by_metric_group_budget
validation_loss,quality,lower_is_better,10m,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,Effect of MLA attention relative to dense baseline.,10,4.892842433929443,5.135411156654358,0.24256872272491464,0.24232154846191456,4.957623835233697,0.05177806814092118,0.016373662816871113,0.20552892410342383,0.27960852134640546,20000,0.21251870536804204,0.2723682241439821,0.1568889236450195,0.3161531829833981,4.684777386146008,0,10,0,0.0,0.001953125,0.013671875,0.041015625,0.0546875
validation_loss,quality,lower_is_better,10m,moe_vs_dense,sparse_ffn_mechanism,dense_121m,moe_220m,Effect of sparse MoE capacity relative to dense baseline.,10,4.892842433929443,4.850161221504211,-0.04268121242523186,-0.0379691648483278,-0.8723193726668726,0.05718348498392763,0.01808300570952483,-0.0835878133149197,-0.0017746115355440212,20000,-0.07512718391418441,-0.008795678138733188,-0.13527774810791016,0.07105128288269036,-0.7463905433050841,9,1,0,0.9,0.044921875,0.1796875,0.44921875,0.6015625
validation_loss,quality,lower_is_better,10m,mla_moe_vs_dense,composition_supporting,dense_121m,mla_moe_220m,Supporting comparison for combined MLA plus MoE relative to dense baseline.,10,4.892842433929443,5.109729565620422,0.2168871316909792,0.21799933433532726,4.432743024524439,0.04206131322479784,0.013300955116812303,0.1867982808021858,0.2469759825797726,20000,0.1912766866683963,0.23982596969604505,0.12619467735290524,0.27794272422790556,5.156451738247448,0,10,0,0.0,0.001953125,0.013671875,0.041015625,0.0546875
validation_loss,quality,lower_is_better,10m,mla_moe_vs_mla,composition_mechanism,mla_121m,mla_moe_220m,Effect of adding MoE capacity on top of MLA.,10,5.135411156654358,5.109729565620422,-0.02568159103393546,-0.03184059143066387,-0.5000883132922627,0.041596482718330774,0.013153962804175745,-0.055437922209830195,0.0040747401419592814,20000,-0.04908524131774907,-0.00015616798400843734,-0.07773067474365192,0.05311779975891184,-0.617398139353212,7,3,0,0.7,0.087890625,0.1796875,0.615234375,0.87890625
validation_loss,quality,lower_is_better,10m,mla_moe_vs_moe,composition_mechanism,moe_220m,mla_moe_220m,Effect of adding MLA attention inside the MoE setting.,10,4.850161221504211,5.109729565620422,0.25956834411621105,0.25483798027038596,5.351746720611268,0.037644778822052784,0.011904324309095722,0.23263889161279847,0.28649779661962366,20000,0.23841493988037135,0.28200754737854006,0.2068914413452152,0.32735944747924783,6.895201731512171,0,10,0,0.0,0.001953125,0.013671875,0.041015625,0.0546875
validation_loss,quality,lower_is_better,10m,v3_routing_vs_moe,routing_mechanism,moe_220m,v3_routing_220m,Effect of V3-style routing relative to standard MoE.,10,4.850161221504211,4.879666081428528,0.029504859924316573,0.03625598907470717,0.6083274055612948,0.03908431201031242,0.012359544673326164,0.0015456274133345237,0.057464092435298625,20000,0.004933643341064631,0.051198758125305235,-0.05163741111755371,0.07643910408020016,0.754902885754563,2,8,0,0.2,0.044921875,0.1796875,0.44921875,0.6015625
validation_loss,quality,lower_is_better,10m,mtp_vs_dense,objective_mechanism,dense_121m,mtp_121m,Effect of MTP objective relative to next-token-only dense baseline.,10,4.892842433929443,4.884302569389343,-0.008539864540099895,0.016422004699706783,-0.17453790215847043,0.06551640985186298,0.020718107924898182,-0.05540748078084922,0.03832775170064943,20000,-0.05024470233917215,0.026988080978393912,-0.15083207130432097,0.08051408767700252,-0.13034695520418632,4,6,0,0.4,0.7265625,0.7265625,1.0,1.0
validation_loss,quality,lower_is_better,25m,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,Effect of MLA attention relative to dense baseline.,10,4.5179269212087,4.798466234207153,0.2805393129984538,0.2900971603393554,6.209469915980844,0.048017102924058634,0.015184341188275637,0.24618994681789302,0.3148886791790146,20000,0.2522503096262613,0.3073338120778402,0.2069167391459139,0.3435210609436039,5.842487278796063,0,10,0,0.0,0.001953125,0.013671875,0.041015625,0.0546875
validation_loss,quality,lower_is_better,25m,moe_vs_dense,sparse_ffn_mechanism,dense_121m,moe_220m,Effect of sparse MoE capacity relative to dense baseline.,10,4.5179269212087,4.481191626866659,-0.03673529434204088,-0.03200125376383456,-0.8131006760997572,0.051574842091009314,0.016309397097111055,-0.07362971380525779,0.00015912512117602362,20000,-0.07093559773763011,-0.01165423583984344,-0.16934827804565433,0.014340712229411245,-0.7122715815051365,7,3,0,0.7,0.017578125,0.0703125,0.193359375,0.28125
validation_loss,quality,lower_is_better,25m,mla_moe_vs_dense,composition_supporting,dense_121m,mla_moe_220m,Supporting comparison for combined MLA plus MoE relative to dense baseline.,10,4.5179269212087,4.768939608256022,0.2510126870473225,0.24688547452290832,5.5559262339765345,0.03600517764275371,0.011385836891007405,0.22525613457052945,0.27676923952411553,20000,0.22955733108520499,0.27185211372375473,0.18536691665649396,0.30662361145019545,6.97157196495156,0,10,0,0.0,0.001953125,0.013671875,0.041015625,0.0546875
