metric,metric_group,metric_direction,budget,seed,contrast_id,contrast_family,model_a,model_b,model_a_value,model_b_value,difference_model_b_minus_model_a,model_b_better
validation_loss,quality,lower_is_better,10m,1337,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,5.010542912483215,5.082375574111938,0.07183266162872304,False
validation_loss,quality,lower_is_better,10m,2027,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,5.03985182762146,5.088137555122375,0.04828572750091542,False
validation_loss,quality,lower_is_better,10m,31415,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,5.002737498283386,5.076140112876892,0.0734026145935065,False
validation_loss,quality,lower_is_better,10m,4441,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,5.00126169204712,5.016890120506287,0.015628428459167232,False
validation_loss,quality,lower_is_better,10m,5501,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,5.028018565177917,5.081126089096069,0.05310752391815221,False
validation_loss,quality,lower_is_better,10m,6173,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,5.023905034065247,5.138198909759521,0.1142938756942744,False
validation_loss,quality,lower_is_better,10m,8191,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,5.010300731658935,5.084102411270141,0.07380167961120598,False
validation_loss,quality,lower_is_better,10m,10007,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,5.021801533699036,5.070838432312012,0.04903689861297611,False
validation_loss,quality,lower_is_better,10m,11213,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,5.039705038070679,5.040488882064819,0.0007838439941405539,False
validation_loss,quality,lower_is_better,10m,12721,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,5.049073481559754,5.08952679157257,0.0404533100128166,False
validation_loss,quality,lower_is_better,10m,1337,moe_vs_dense,sparse_ffn_mechanism,dense_121m,moe_220m,5.010542912483215,4.982740073204041,-0.027802839279174485,True
validation_loss,quality,lower_is_better,10m,2027,moe_vs_dense,sparse_ffn_mechanism,dense_121m,moe_220m,5.03985182762146,4.967903270721435,-0.07194855690002466,True
validation_loss,quality,lower_is_better,10m,31415,moe_vs_dense,sparse_ffn_mechanism,dense_121m,moe_220m,5.002737498283386,4.961135277748108,-0.04160222053527818,True
validation_loss,quality,lower_is_better,10m,4441,moe_vs_dense,sparse_ffn_mechanism,dense_121m,moe_220m,5.00126169204712,4.976585335731507,-0.024676356315612935,True
validation_loss,quality,lower_is_better,10m,5501,moe_vs_dense,sparse_ffn_mechanism,dense_121m,moe_220m,5.028018565177917,4.968844532966614,-0.05917403221130346,True
validation_loss,quality,lower_is_better,10m,6173,moe_vs_dense,sparse_ffn_mechanism,dense_121m,moe_220m,5.023905034065247,4.983359966278076,-0.040545067787170375,True
validation_loss,quality,lower_is_better,10m,8191,moe_vs_dense,sparse_ffn_mechanism,dense_121m,moe_220m,5.010300731658935,4.9708214855194095,-0.03947924613952569,True
validation_loss,quality,lower_is_better,10m,10007,moe_vs_dense,sparse_ffn_mechanism,dense_121m,moe_220m,5.021801533699036,4.97149151802063,-0.05031001567840576,True
validation_loss,quality,lower_is_better,10m,11213,moe_vs_dense,sparse_ffn_mechanism,dense_121m,moe_220m,5.039705038070679,4.960887570381164,-0.07881746768951459,True
validation_loss,quality,lower_is_better,10m,12721,moe_vs_dense,sparse_ffn_mechanism,dense_121m,moe_220m,5.049073481559754,4.956976222991943,-0.09209725856781059,True
validation_loss,quality,lower_is_better,10m,1337,mla_moe_vs_dense,composition_supporting,dense_121m,mla_moe_220m,5.010542912483215,5.0005859804153445,-0.009956932067870738,True
validation_loss,quality,lower_is_better,10m,2027,mla_moe_vs_dense,composition_supporting,dense_121m,mla_moe_220m,5.03985182762146,5.024278535842895,-0.015573291778564702,True
validation_loss,quality,lower_is_better,10m,31415,mla_moe_vs_dense,composition_supporting,dense_121m,mla_moe_220m,5.002737498283386,5.037221875190735,0.034484376907348846,False
validation_loss,quality,lower_is_better,10m,4441,mla_moe_vs_dense,composition_supporting,dense_121m,mla_moe_220m,5.00126169204712,4.994745092391968,-0.0065165996551517225,True
validation_loss,quality,lower_is_better,10m,5501,mla_moe_vs_dense,composition_supporting,dense_121m,mla_moe_220m,5.028018565177917,5.026114430427551,-0.0019041347503661044,True
validation_loss,quality,lower_is_better,10m,6173,mla_moe_vs_dense,composition_supporting,dense_121m,mla_moe_220m,5.023905034065247,4.992975482940674,-0.030929551124573074,True
validation_loss,quality,lower_is_better,10m,8191,mla_moe_vs_dense,composition_supporting,dense_121m,mla_moe_220m,5.010300731658935,5.000658626556397,-0.0096421051025386,True
validation_loss,quality,lower_is_better,10m,10007,mla_moe_vs_dense,composition_supporting,dense_121m,mla_moe_220m,5.021801533699036,5.03117329120636,0.009371757507324219,False
validation_loss,quality,lower_is_better,10m,11213,mla_moe_vs_dense,composition_supporting,dense_121m,mla_moe_220m,5.039705038070679,5.0577370023727415,0.018031964302062775,False
validation_loss,quality,lower_is_better,10m,12721,mla_moe_vs_dense,composition_supporting,dense_121m,mla_moe_220m,5.049073481559754,5.0509145021438595,0.0018410205841057348,False
validation_loss,quality,lower_is_better,10m,1337,mla_moe_vs_mla,composition_mechanism,mla_121m,mla_moe_220m,5.082375574111938,5.0005859804153445,-0.08178959369659378,True
validation_loss,quality,lower_is_better,10m,2027,mla_moe_vs_mla,composition_mechanism,mla_121m,mla_moe_220m,5.088137555122375,5.024278535842895,-0.06385901927948012,True
validation_loss,quality,lower_is_better,10m,31415,mla_moe_vs_mla,composition_mechanism,mla_121m,mla_moe_220m,5.076140112876892,5.037221875190735,-0.03891823768615765,True
validation_loss,quality,lower_is_better,10m,4441,mla_moe_vs_mla,composition_mechanism,mla_121m,mla_moe_220m,5.016890120506287,4.994745092391968,-0.022145028114318954,True
validation_loss,quality,lower_is_better,10m,5501,mla_moe_vs_mla,composition_mechanism,mla_121m,mla_moe_220m,5.081126089096069,5.026114430427551,-0.055011658668518315,True
validation_loss,quality,lower_is_better,10m,6173,mla_moe_vs_mla,composition_mechanism,mla_121m,mla_moe_220m,5.138198909759521,4.992975482940674,-0.14522342681884748,True
validation_loss,quality,lower_is_better,10m,8191,mla_moe_vs_mla,composition_mechanism,mla_121m,mla_moe_220m,5.084102411270141,5.000658626556397,-0.08344378471374458,True
validation_loss,quality,lower_is_better,10m,10007,mla_moe_vs_mla,composition_mechanism,mla_121m,mla_moe_220m,5.070838432312012,5.03117329120636,-0.03966514110565189,True
validation_loss,quality,lower_is_better,10m,11213,mla_moe_vs_mla,composition_mechanism,mla_121m,mla_moe_220m,5.040488882064819,5.0577370023727415,0.01724812030792222,False
validation_loss,quality,lower_is_better,10m,12721,mla_moe_vs_mla,composition_mechanism,mla_121m,mla_moe_220m,5.08952679157257,5.0509145021438595,-0.038612289428710866,True
validation_loss,quality,lower_is_better,10m,1337,mla_moe_vs_moe,composition_mechanism,moe_220m,mla_moe_220m,4.982740073204041,5.0005859804153445,0.017845907211303746,False
validation_loss,quality,lower_is_better,10m,2027,mla_moe_vs_moe,composition_mechanism,moe_220m,mla_moe_220m,4.967903270721435,5.024278535842895,0.05637526512145996,False
validation_loss,quality,lower_is_better,10m,31415,mla_moe_vs_moe,composition_mechanism,moe_220m,mla_moe_220m,4.961135277748108,5.037221875190735,0.07608659744262702,False
validation_loss,quality,lower_is_better,10m,4441,mla_moe_vs_moe,composition_mechanism,moe_220m,mla_moe_220m,4.976585335731507,4.994745092391968,0.018159756660461213,False
validation_loss,quality,lower_is_better,10m,5501,mla_moe_vs_moe,composition_mechanism,moe_220m,mla_moe_220m,4.968844532966614,5.026114430427551,0.05726989746093736,False
validation_loss,quality,lower_is_better,10m,6173,mla_moe_vs_moe,composition_mechanism,moe_220m,mla_moe_220m,4.983359966278076,4.992975482940674,0.009615516662597301,False
validation_loss,quality,lower_is_better,10m,8191,mla_moe_vs_moe,composition_mechanism,moe_220m,mla_moe_220m,4.9708214855194095,5.000658626556397,0.02983714103698709,False
validation_loss,quality,lower_is_better,10m,10007,mla_moe_vs_moe,composition_mechanism,moe_220m,mla_moe_220m,4.97149151802063,5.03117329120636,0.05968177318572998,False
validation_loss,quality,lower_is_better,10m,11213,mla_moe_vs_moe,composition_mechanism,moe_220m,mla_moe_220m,4.960887570381164,5.0577370023727415,0.09684943199157736,False
validation_loss,quality,lower_is_better,10m,12721,mla_moe_vs_moe,composition_mechanism,moe_220m,mla_moe_220m,4.956976222991943,5.0509145021438595,0.09393827915191633,False
validation_loss,quality,lower_is_better,10m,1337,v3_routing_vs_moe,routing_mechanism,moe_220m,v3_routing_220m,4.982740073204041,4.955051074028015,-0.027688999176025852,True
validation_loss,quality,lower_is_better,10m,2027,v3_routing_vs_moe,routing_mechanism,moe_220m,v3_routing_220m,4.967903270721435,4.973963537216187,0.006060266494751332,False
validation_loss,quality,lower_is_better,10m,31415,v3_routing_vs_moe,routing_mechanism,moe_220m,v3_routing_220m,4.961135277748108,4.969941239356995,0.008805961608887358,False
validation_loss,quality,lower_is_better,10m,4441,v3_routing_vs_moe,routing_mechanism,moe_220m,v3_routing_220m,4.976585335731507,4.985671200752258,0.009085865020751704,False
validation_loss,quality,lower_is_better,10m,5501,v3_routing_vs_moe,routing_mechanism,moe_220m,v3_routing_220m,4.968844532966614,4.985244517326355,0.016399984359741104,False
validation_loss,quality,lower_is_better,10m,6173,v3_routing_vs_moe,routing_mechanism,moe_220m,v3_routing_220m,4.983359966278076,4.991824941635132,0.008464975357055593,False
validation_loss,quality,lower_is_better,10m,8191,v3_routing_vs_moe,routing_mechanism,moe_220m,v3_routing_220m,4.9708214855194095,4.980957555770874,0.010136070251464346,False
validation_loss,quality,lower_is_better,10m,10007,v3_routing_vs_moe,routing_mechanism,moe_220m,v3_routing_220m,4.97149151802063,4.974135565757751,0.0026440477371210136,False
validation_loss,quality,lower_is_better,10m,11213,v3_routing_vs_moe,routing_mechanism,moe_220m,v3_routing_220m,4.960887570381164,4.970754518508911,0.009866948127746689,False
validation_loss,quality,lower_is_better,10m,12721,v3_routing_vs_moe,routing_mechanism,moe_220m,v3_routing_220m,4.956976222991943,5.006309819221497,0.04933359622955358,False
validation_loss,quality,lower_is_better,10m,1337,mtp_vs_dense,objective_mechanism,dense_121m,mtp_121m,5.010542912483215,5.009670815467834,-0.0008720970153808238,True
validation_loss,quality,lower_is_better,10m,2027,mtp_vs_dense,objective_mechanism,dense_121m,mtp_121m,5.03985182762146,5.045757584571838,0.005905756950378205,False
validation_loss,quality,lower_is_better,10m,31415,mtp_vs_dense,objective_mechanism,dense_121m,mtp_121m,5.002737498283386,5.054121799468994,0.05138430118560855,False
validation_loss,quality,lower_is_better,10m,4441,mtp_vs_dense,objective_mechanism,dense_121m,mtp_121m,5.00126169204712,5.029954085350036,0.02869239330291684,False
validation_loss,quality,lower_is_better,10m,5501,mtp_vs_dense,objective_mechanism,dense_121m,mtp_121m,5.028018565177917,4.991040110588074,-0.0369784545898435,True
validation_loss,quality,lower_is_better,10m,6173,mtp_vs_dense,objective_mechanism,dense_121m,mtp_121m,5.023905034065247,5.011355180740356,-0.01254985332489067,True
validation_loss,quality,lower_is_better,10m,8191,mtp_vs_dense,objective_mechanism,dense_121m,mtp_121m,5.010300731658935,4.989459028244019,-0.020841703414916424,True
validation_loss,quality,lower_is_better,10m,10007,mtp_vs_dense,objective_mechanism,dense_121m,mtp_121m,5.021801533699036,5.025440711975097,0.0036391782760611946,False
validation_loss,quality,lower_is_better,10m,11213,mtp_vs_dense,objective_mechanism,dense_121m,mtp_121m,5.039705038070679,5.035873055458069,-0.0038319826126098633,True
validation_loss,quality,lower_is_better,10m,12721,mtp_vs_dense,objective_mechanism,dense_121m,mtp_121m,5.049073481559754,5.028060746192932,-0.021012735366821467,True
validation_loss,quality,lower_is_better,25m,1337,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,4.591437788009643,4.636013627052307,0.04457583904266382,False
validation_loss,quality,lower_is_better,25m,2027,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,4.598965830802918,4.638378939628601,0.039413108825683274,False
validation_loss,quality,lower_is_better,25m,31415,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,4.585212154388428,4.641139874458313,0.05592772006988511,False
validation_loss,quality,lower_is_better,25m,4441,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,4.591076664924621,4.620917696952819,0.0298410320281981,False
validation_loss,quality,lower_is_better,25m,5501,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,4.591331214904785,4.640361032485962,0.04902981758117697,False
validation_loss,quality,lower_is_better,25m,6173,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,4.6034186697006225,4.675508689880371,0.07209002017974875,False
