metric,model,n,mean,std,sem,ci95_low,ci95_high,median,min,max
validation_loss,dense_121m,25,4.299869081020356,0.04634244199672798,0.009268488399345597,4.280739861144481,4.318998300896231,4.297034783363342,4.209294197559356,4.383170025348663
validation_loss,mtp_121m,25,4.2703828010559075,0.046777355975655854,0.00935547119513117,4.251074057512924,4.289691544598891,4.271780495643616,4.16676910161972,4.355060038566589
validation_loss,moe_220m,25,4.271125084400177,0.05831639112716232,0.011663278225432464,4.2470532612468395,4.295196907553515,4.2693181586265565,4.1666395950317385,4.397777752876282
validation_loss,v3_routing_220m,25,4.278601340198517,0.05197255240668612,0.010394510481337224,4.257148124967257,4.300054555429776,4.281662604808807,4.1909032368659975,4.3862042498588565
test_loss,dense_121m,25,4.485898118209839,0.049111737248207256,0.009822347449641451,4.4656257894367135,4.506170446982964,4.479051141738892,4.405094323158264,4.597012243270874
test_loss,mtp_121m,25,4.467435412597656,0.04515391297242288,0.009030782594484577,4.448796793390524,4.486074031804788,4.4794371747970585,4.376053581237793,4.532818536758423
test_loss,moe_220m,25,4.455843325424195,0.0375248288583125,0.0075049657716625,4.440353837362993,4.471332813485397,4.46264157295227,4.379591243267059,4.5225765419006345
test_loss,v3_routing_220m,25,4.473333518123627,0.055530728745541186,0.011106145749108237,4.4504115598868115,4.496255476360442,4.468593282699585,4.353972074985504,4.586758646965027
validation_perplexity,dense_121m,25,73.76630975161432,3.4303325307846713,0.6860665061569342,72.35033807637585,75.18228142685278,73.4815815282659,67.30901617304765,80.09152356760835
validation_perplexity,mtp_121m,25,71.62368753767231,3.3170311520437252,0.663406230408745,70.25448437295663,72.992890702388,71.64909301486061,64.50670046726951,77.87150048974945
validation_perplexity,moe_220m,25,71.7196061877108,4.210655851349722,0.8421311702699444,69.98153287668853,73.45767949873306,71.47288583065776,64.49834696551846,81.27006567522119
validation_perplexity,v3_routing_220m,25,72.2332655988571,3.7681739695956757,0.7536347939191351,70.67783983169457,73.78869136601963,72.36064721111916,66.08245211922431,80.33490828668879
test_perplexity,dense_121m,25,88.86031689383903,4.421236758627936,0.8842473517255872,87.0353200564892,90.68531373118886,88.15099018525667,81.86686442020938,99.1875242993779
test_perplexity,mtp_121m,25,87.21760475840613,3.891283943379766,0.7782567886759532,85.61136169168059,88.82384782513166,88.18502595062093,79.52357998267381,93.02037328651816
test_perplexity,moe_220m,25,86.18689880998662,3.2272914088722837,0.6454582817744567,84.85473839064142,87.51905922933182,86.71627417786826,79.8054057402286,92.07252133472574
test_perplexity,v3_routing_220m,25,87.77782147751095,4.853391549449254,0.9706783098898508,85.77443990992577,89.78120304509613,87.23392319243702,77.78682520337831,98.17569179266847
train_tokens_per_second,dense_121m,25,4297.8488651821535,42.01070161738542,8.402140323477084,4280.5076998539325,4315.1900305103745,4276.502159533318,4256.241439317486,4373.51698844969
train_tokens_per_second,mtp_121m,25,3732.4201844437507,38.597887298145466,7.719577459629093,3716.487759628446,3748.3526092590555,3714.1866876825793,3687.323075543463,3797.361695027391
train_tokens_per_second,moe_220m,25,2997.2313977196645,94.20062645705168,18.840125291410338,2958.347290229831,3036.115505209498,3005.9723146184447,2591.4306689652044,3085.2522082462906
train_tokens_per_second,v3_routing_220m,25,3024.4340110163025,45.0105719769917,9.00211439539834,3005.854560064029,3043.013461968576,3019.62874532253,2947.496778144164,3092.2283010239257
peak_memory_bytes,dense_121m,25,3039483904.0,0.0,0.0,3039483904.0,3039483904.0,3039483904.0,3039483904.0,3039483904.0
peak_memory_bytes,mtp_121m,25,3432570368.0,0.0,0.0,3432570368.0,3432570368.0,3432570368.0,3432570368.0,3432570368.0
peak_memory_bytes,moe_220m,25,4608059883.52,2714836.2808185,542967.2561637,4606939254.180993,4609180512.859008,4607492096.0,4603688960.0,4614133760.0
peak_memory_bytes,v3_routing_220m,25,4617444679.68,3178294.436495549,635658.8872991098,4616132744.216818,4618756615.143183,4617969664.0,4608723968.0,4622593024.0
tokens_per_total_parameter,dense_121m,25,0.4134170683024195,0.0,0.0,0.4134170683024195,0.4134170683024195,0.4134170683024195,0.4134170683024195,0.4134170683024195
tokens_per_total_parameter,mtp_121m,25,0.3668298766252914,0.0,0.0,0.3668298766252914,0.3668298766252914,0.3668298766252914,0.3668298766252914,0.3668298766252914
tokens_per_total_parameter,moe_220m,25,0.22712562518387763,2.832791573980247e-17,5.665583147960493e-18,0.22712562518387763,0.22712562518387763,0.2271256251838776,0.2271256251838776,0.2271256251838776
tokens_per_total_parameter,v3_routing_220m,25,0.22712562518387763,2.832791573980247e-17,5.665583147960493e-18,0.22712562518387763,0.22712562518387763,0.2271256251838776,0.2271256251838776,0.2271256251838776
tokens_per_trainable_parameter,dense_121m,25,0.4134170683024195,0.0,0.0,0.4134170683024195,0.4134170683024195,0.4134170683024195,0.4134170683024195,0.4134170683024195
tokens_per_trainable_parameter,mtp_121m,25,0.3668298766252914,0.0,0.0,0.3668298766252914,0.3668298766252914,0.3668298766252914,0.3668298766252914,0.3668298766252914
tokens_per_trainable_parameter,moe_220m,25,0.22712562518387763,2.832791573980247e-17,5.665583147960493e-18,0.22712562518387763,0.22712562518387763,0.2271256251838776,0.2271256251838776,0.2271256251838776
tokens_per_trainable_parameter,v3_routing_220m,25,0.22712562518387763,2.832791573980247e-17,5.665583147960493e-18,0.22712562518387763,0.22712562518387763,0.2271256251838776,0.2271256251838776,0.2271256251838776
tokens_per_activated_parameter,dense_121m,25,0.4134170683024195,0.0,0.0,0.4134170683024195,0.4134170683024195,0.4134170683024195,0.4134170683024195,0.4134170683024195
tokens_per_activated_parameter,mtp_121m,25,0.3668298766252914,0.0,0.0,0.3668298766252914,0.3668298766252914,0.3668298766252914,0.3668298766252914,0.3668298766252914
tokens_per_activated_parameter,moe_220m,25,0.6362354106199937,0.0,0.0,0.6362354106199937,0.6362354106199937,0.6362354106199937,0.6362354106199937,0.6362354106199937
tokens_per_activated_parameter,v3_routing_220m,25,0.6362354106199937,0.0,0.0,0.6362354106199937,0.6362354106199937,0.6362354106199937,0.6362354106199937,0.6362354106199937
requested_tokens_per_total_parameter,dense_121m,25,0.41340966000131224,5.665583147960493e-17,1.1331166295920986e-17,0.41340966000131224,0.41340966000131224,0.4134096600013123,0.4134096600013123,0.4134096600013123
requested_tokens_per_total_parameter,mtp_121m,25,0.36682330315169887,5.665583147960493e-17,1.1331166295920986e-17,0.36682330315169887,0.36682330315169887,0.3668233031516988,0.3668233031516988,0.3668233031516988
requested_tokens_per_total_parameter,moe_220m,25,0.22712155516560903,2.832791573980247e-17,5.665583147960493e-18,0.22712155516560903,0.22712155516560903,0.227121555165609,0.227121555165609,0.227121555165609
requested_tokens_per_total_parameter,v3_routing_220m,25,0.22712155516560903,2.832791573980247e-17,5.665583147960493e-18,0.22712155516560903,0.22712155516560903,0.227121555165609,0.227121555165609,0.227121555165609
