metric,model_a,model_b,comparison,n_seed_blocks,mean_model_a,mean_model_b,mean_difference_a_minus_b,std_difference,sem_difference,ci95_low_difference,ci95_high_difference,bootstrap_ci95_low_difference,bootstrap_ci95_high_difference,paired_t_statistic,paired_t_p_value,wilcoxon_statistic,wilcoxon_p_value,sign_flip_p_value,cohen_dz,lower_is_better,model_a_improvement_count,model_b_or_tie_count,model_a_improvement_fraction,paired_t_p_value_holm_within_metric
validation_loss,mtp_121m,dense_121m,mtp_121m - dense_121m,25,4.27038,4.29987,-0.02949,0.03884,0.00777,-0.0455201911140324,-0.013452368814861726,-0.044605906817913044,-0.014580964879989755,-3.7954988173897535,0.000882,43.0,0.000715,0.0008,-0.759,True,20,5,0.8,0.005292
validation_loss,moe_220m,dense_121m,moe_220m - dense_121m,25,4.27113,4.29987,-0.02874,0.04604,0.00921,-0.047750373852702324,-0.009737619387653981,-0.04626568263530722,-0.010968794670104982,-3.1213046312849473,0.004644,65.0,0.007371,0.0043,-0.624,True,18,7,0.72,0.023219
validation_loss,v3_routing_220m,dense_121m,v3_routing_220m - dense_121m,25,4.2786,4.29987,-0.02127,0.04372,0.00874,-0.0393130011201239,-0.0032224805235529647,-0.037944359230995386,-0.0040501373958587595,-2.432464756157632,0.022824,83.0,0.031808,0.024499,-0.486,True,19,6,0.76,0.091295
validation_loss,v3_routing_220m,moe_220m,v3_routing_220m - moe_220m,25,4.2786,4.27113,0.00748,0.04158,0.00832,-0.00968782391070215,0.024640335507381594,-0.009011595230102688,0.02323389651060074,0.8989840323584627,0.377593,117.0,0.230361,0.373881,0.18,True,8,17,0.32,0.784201
validation_loss,mtp_121m,moe_220m,mtp_121m - moe_220m,25,4.27038,4.27113,-0.00074,0.04578,0.00916,-0.01964058001519655,0.018156013326658726,-0.018164740164280012,0.017192453346252256,-0.08106537606184425,0.936062,159.0,0.936803,0.936003,-0.016,True,15,10,0.6,0.936062
validation_loss,mtp_121m,v3_routing_220m,mtp_121m - v3_routing_220m,25,4.27038,4.2786,-0.00822,0.03573,0.00715,-0.0229659461385004,0.006528867853283131,-0.02231367360591892,0.0049266036391258285,-1.1501839692793998,0.2614,128.0,0.366585,0.259137,-0.23,True,13,12,0.52,0.784201
test_loss,mtp_121m,dense_121m,mtp_121m - dense_121m,25,4.46744,4.4859,-0.01846,0.05308,0.01062,-0.040372859073333295,0.003447447848967916,-0.038927299056053216,0.0020028001737593185,-1.7391549367424846,0.09482,108.0,0.14848,0.092245,-0.348,True,13,12,0.52,0.474102
test_loss,moe_220m,dense_121m,moe_220m - dense_121m,25,4.45584,4.4859,-0.03005,0.04931,0.00986,-0.05040962572075671,-0.009699959850532375,-0.04925578968763343,-0.01147678236246111,-3.0474356531474167,0.005543,70.0,0.011453,0.00475,-0.609,True,18,7,0.72,0.033257
test_loss,v3_routing_220m,dense_121m,v3_routing_220m - dense_121m,25,4.47333,4.4859,-0.01256,0.04109,0.00822,-0.0295259527026432,0.004396752530218909,-0.02870685000896436,0.003059423887729596,-1.5288910402253713,0.139366,106.0,0.13364,0.140743,-0.306,True,17,8,0.68,0.474102
test_loss,v3_routing_220m,moe_220m,v3_routing_220m - moe_220m,25,4.47333,4.45584,0.01749,0.05089,0.01018,-0.0035173539231851854,0.03849773932204999,-0.002422567629814253,0.03672328881740585,1.7183340921919426,0.098612,99.0,0.090316,0.098495,0.344,True,7,18,0.28,0.474102
test_loss,mtp_121m,moe_220m,mtp_121m - moe_220m,25,4.46744,4.45584,0.01159,0.05106,0.01021,-0.009482896822487775,0.032667071169411484,-0.007868207592964296,0.031008920817375125,1.1352270563134323,0.267491,121.0,0.275184,0.269587,0.227,True,11,14,0.44,0.534982
test_loss,mtp_121m,v3_routing_220m,mtp_121m - v3_routing_220m,25,4.46744,4.47333,-0.0059,0.03945,0.00789,-0.022180366818140892,0.010384155766199808,-0.021056842885017395,0.009304659023284674,-0.7476290481368569,0.461947,138.0,0.524913,0.456727,-0.15,True,14,11,0.56,0.534982
validation_perplexity,mtp_121m,dense_121m,mtp_121m - dense_121m,25,71.62369,73.76631,-2.14262,2.81634,0.56327,-3.30515020641348,-0.9800942214705466,-3.21541132282042,-1.0656184463022729,-3.8039126232701985,0.000864,40.0,0.000489,0.0008,-0.761,True,20,5,0.8,0.005181
validation_perplexity,moe_220m,dense_121m,moe_220m - dense_121m,25,71.71961,73.76631,-2.0467,3.39889,0.67978,-3.449695498997495,-0.6437116288095492,-3.3218012165581956,-0.7465558982766237,-3.0108430675593962,0.006048,68.0,0.009635,0.0062,-0.602,True,18,7,0.72,0.030239
validation_perplexity,v3_routing_220m,dense_121m,v3_routing_220m - dense_121m,25,72.23327,73.76631,-1.53304,3.23565,0.64713,-2.8686547613631155,-0.19743354415131353,-2.785353905805291,-0.2825526196408507,-2.368989585288241,0.026227,84.0,0.034174,0.027249,-0.474,True,19,6,0.76,0.104907
validation_perplexity,v3_routing_220m,moe_220m,v3_routing_220m - moe_220m,25,72.23327,71.71961,0.51366,3.04231,0.60846,-0.7421458932926873,1.7694647155853023,-0.6724531384268405,1.6593366988786016,0.8441921021389203,0.406899,116.0,0.219986,0.40893,0.169,True,8,17,0.32,0.813797
validation_perplexity,mtp_121m,moe_220m,mtp_121m - moe_220m,25,71.62369,71.71961,-0.09592,3.3126,0.66252,-1.4632940086462924,1.2714567085693096,-1.3479452475218112,1.1974183574244577,-0.14477836140714462,0.886095,160.0,0.957845,0.883056,-0.029,True,15,10,0.6,0.886095
validation_perplexity,mtp_121m,v3_routing_220m,mtp_121m - v3_routing_220m,25,71.62369,72.23327,-0.60958,2.59246,0.51849,-1.679692292035007,0.46053616966540944,-1.6154850667097,0.3544761172035196,-1.1756756871457892,0.251256,128.0,0.366585,0.251587,-0.235,True,13,12,0.52,0.753768
test_perplexity,mtp_121m,dense_121m,mtp_121m - dense_121m,25,87.2176,88.86032,-1.64271,4.67186,0.93437,-3.571162265184249,0.28573799431842706,-3.4430271448284415,0.1745469147323463,-1.7580912055662312,0.09148,107.0,0.140915,0.095095,-0.352,True,13,12,0.52,0.415737
test_perplexity,moe_220m,dense_121m,moe_220m - dense_121m,25,86.1869,88.86032,-2.67342,4.33064,0.86613,-4.461018218098416,-0.885817949606424,-4.347160634208455,-0.9994602976947641,-3.0866319778056472,0.005047,70.0,0.011453,0.0056,-0.617,True,18,7,0.72,0.03028
test_perplexity,v3_routing_220m,dense_121m,v3_routing_220m - dense_121m,25,87.77782,88.86032,-1.0825,3.56412,0.71282,-2.553693642165042,0.38870280950883607,-2.447044599704553,0.26778645548830515,-1.5185993929930997,0.141928,107.0,0.140915,0.142293,-0.304,True,17,8,0.68,0.425783
test_perplexity,v3_routing_220m,moe_220m,v3_routing_220m - moe_220m,25,87.77782,86.1869,1.59092,4.39954,0.87991,-0.22511979360042234,3.406965128649057,-0.09630319790839424,3.2378169815090128,1.8080540931467364,0.083147,94.0,0.066702,0.082246,0.362,True,7,18,0.28,0.415737
test_perplexity,mtp_121m,moe_220m,mtp_121m - moe_220m,25,87.2176,86.1869,1.03071,4.39928,0.87986,-0.7852258355362198,2.8466377323752385,-0.7006780222510323,2.714878604888716,1.1714495793286557,0.252917,119.0,0.252104,0.254887,0.234,True,11,14,0.44,0.505834
test_perplexity,mtp_121m,v3_routing_220m,mtp_121m - v3_routing_220m,25,87.2176,87.77782,-0.56022,3.48701,0.6974,-1.9995827342197492,0.8791492960101336,-1.8971915057391613,0.7802809754395187,-0.8032914968247686,0.429691,135.0,0.474165,0.429979,-0.161,True,14,11,0.56,0.505834
