metric,rank,model,mean,ci95_low,ci95_high,lower_is_better
validation_loss,1,mtp_121m,4.27038,4.251074057512924,4.289691544598891,True
validation_loss,2,moe_220m,4.27113,4.2470532612468395,4.295196907553515,True
validation_loss,3,v3_routing_220m,4.2786,4.257148124967257,4.300054555429776,True
validation_loss,4,dense_121m,4.29987,4.280739861144481,4.318998300896231,True
test_loss,1,moe_220m,4.45584,4.440353837362993,4.471332813485397,True
test_loss,2,mtp_121m,4.46744,4.448796793390524,4.486074031804788,True
test_loss,3,v3_routing_220m,4.47333,4.4504115598868115,4.496255476360442,True
test_loss,4,dense_121m,4.4859,4.4656257894367135,4.506170446982964,True
validation_perplexity,1,mtp_121m,71.62369,70.25448437295663,72.992890702388,True
validation_perplexity,2,moe_220m,71.71961,69.98153287668853,73.45767949873306,True
validation_perplexity,3,v3_routing_220m,72.23327,70.67783983169457,73.78869136601963,True
validation_perplexity,4,dense_121m,73.76631,72.35033807637585,75.18228142685278,True
test_perplexity,1,moe_220m,86.1869,84.85473839064142,87.51905922933182,True
test_perplexity,2,mtp_121m,87.2176,85.61136169168059,88.82384782513166,True
test_perplexity,3,v3_routing_220m,87.77782,85.77443990992577,89.78120304509613,True
test_perplexity,4,dense_121m,88.86032,87.0353200564892,90.68531373118886,True
train_tokens_per_second,1,dense_121m,4297.84887,4280.5076998539325,4315.1900305103745,False
train_tokens_per_second,2,mtp_121m,3732.42018,3716.487759628446,3748.3526092590555,False
train_tokens_per_second,3,v3_routing_220m,3024.43401,3005.854560064029,3043.013461968576,False
train_tokens_per_second,4,moe_220m,2997.2314,2958.347290229831,3036.115505209498,False
peak_memory_bytes,1,dense_121m,3039483904.0,3039483904.0,3039483904.0,True
peak_memory_bytes,2,mtp_121m,3432570368.0,3432570368.0,3432570368.0,True
peak_memory_bytes,3,moe_220m,4608059883.52,4606939254.180993,4609180512.859008,True
peak_memory_bytes,4,v3_routing_220m,4617444679.68,4616132744.216818,4618756615.143183,True
