seed,short_name,experiment_name,included_in_training_queue,summary_exists,summary_parseable,raw_log_exists,checkpoint_dir_exists,progress_record_count,progress_statuses,progress_exit_codes,summary_path,raw_log_path,checkpoint_dir
1337,dense_121m,main_large_50m_00_dense_121m,False,True,True,True,False,0,,,results\metrics\main_large_50m_00_dense_121m\summary.json,results\raw_logs\main_large_50m_00_dense_121m\train_log.jsonl,results\checkpoints\main_large_50m_00_dense_121m
1337,mtp_121m,main_large_50m_02_mtp_121m,False,True,True,True,False,0,,,results\metrics\main_large_50m_02_mtp_121m\summary.json,results\raw_logs\main_large_50m_02_mtp_121m\train_log.jsonl,results\checkpoints\main_large_50m_02_mtp_121m
1337,moe_220m,main_large_50m_03_moe_220m,False,True,True,True,False,0,,,results\metrics\main_large_50m_03_moe_220m\summary.json,results\raw_logs\main_large_50m_03_moe_220m\train_log.jsonl,results\checkpoints\main_large_50m_03_moe_220m
1337,v3_routing_220m,main_large_50m_05_v3_routing_220m,False,True,True,True,False,0,,,results\metrics\main_large_50m_05_v3_routing_220m\summary.json,results\raw_logs\main_large_50m_05_v3_routing_220m\train_log.jsonl,results\checkpoints\main_large_50m_05_v3_routing_220m
2027,dense_121m,main_large_50m_seed2027_00_dense_121m,False,True,True,True,False,0,,,results\metrics\main_large_50m_seed2027_00_dense_121m\summary.json,results\raw_logs\main_large_50m_seed2027_00_dense_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed2027_00_dense_121m
2027,mtp_121m,main_large_50m_seed2027_01_mtp_121m,False,True,True,True,False,0,,,results\metrics\main_large_50m_seed2027_01_mtp_121m\summary.json,results\raw_logs\main_large_50m_seed2027_01_mtp_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed2027_01_mtp_121m
2027,moe_220m,main_large_50m_seed2027_02_moe_220m,False,True,True,True,False,0,,,results\metrics\main_large_50m_seed2027_02_moe_220m\summary.json,results\raw_logs\main_large_50m_seed2027_02_moe_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed2027_02_moe_220m
2027,v3_routing_220m,main_large_50m_seed2027_03_v3_routing_220m,False,True,True,True,False,0,,,results\metrics\main_large_50m_seed2027_03_v3_routing_220m\summary.json,results\raw_logs\main_large_50m_seed2027_03_v3_routing_220m\train_log.jsonl,results\checkpoints\main_large_50m_seed2027_03_v3_routing_220m
31415,dense_121m,main_large_50m_seed31415_00_dense_121m,False,True,True,True,False,0,,,results\metrics\main_large_50m_seed31415_00_dense_121m\summary.json,results\raw_logs\main_large_50m_seed31415_00_dense_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed31415_00_dense_121m
31415,mtp_121m,main_large_50m_seed31415_01_mtp_121m,False,True,True,True,False,0,,,results\metrics\main_large_50m_seed31415_01_mtp_121m\summary.json,results\raw_logs\main_large_50m_seed31415_01_mtp_121m\train_log.jsonl,results\checkpoints\main_large_50m_seed31415_01_mtp_121m
