experiment_name,model_name,model_config,batch_size,block_size,max_tokens,train_tokens,steps,train_tokens_per_second,peak_memory_bytes,peak_memory_gb,final_train_loss,validation_loss,test_loss,total_parameters,trainable_parameters,activated_parameters_per_token,activated_to_total_ratio,tokens_per_total_parameter,tokens_per_trainable_parameter,tokens_per_activated_parameter,routing_stats_present,mtp_enabled
main_large_batch_sweep_b2_00_dense_121m,baseline_gpt,configs/model/dense_121m.yaml,2,256,5120,5120,10,1404.1859221115742,2478964736,2.478964736,8.128137588500977,7.682594299316406,8.176009178161621,120945408,120945408,120945408,1.0,4.233314918413438e-05,4.233314918413438e-05,4.233314918413438e-05,False,False
main_large_batch_sweep_b2_01_mla_121m,mla_gpt,configs/model/mla_121m.yaml,2,256,5120,5120,10,2291.219246826333,2880831488,2.880831488,8.052722930908203,7.637998819351196,8.080439567565918,137460480,137460480,137460480,1.0,3.7247069121248524e-05,3.7247069121248524e-05,3.7247069121248524e-05,False,False
main_large_batch_sweep_b2_02_mtp_121m,mtp_gpt,configs/model/mtp_121m.yaml,2,256,5120,5120,10,2341.890488347855,2831680512,2.831680512,10.563188552856445,7.767627716064453,8.191968441009521,136305408,136305408,136305408,1.0,3.756270624273396e-05,3.756270624273396e-05,3.756270624273396e-05,False,True
main_large_batch_sweep_b2_03_moe_220m,moe_gpt,configs/model/moe_220m.yaml,2,256,5120,5120,10,978.7228332256569,4355340288,4.355340288,8.2327299118042,7.634467601776123,8.230027198791504,220146432,220146432,78588672,0.3569836280607991,2.3257247248958365e-05,2.3257247248958365e-05,6.514933857134015e-05,True,False
main_large_batch_sweep_b2_04_mla_moe_220m,mla_moe_gpt,configs/model/mla_moe_220m.yaml,2,256,5120,5120,10,1189.4799512354753,4885605376,4.885605376,8.105116844177246,7.606263160705566,8.069674015045166,236661504,236661504,95103744,0.4018555717452045,2.1634274748799026e-05,2.1634274748799026e-05,5.3835945722599525e-05,True,False
main_large_batch_sweep_b2_05_v3_routing_220m,v3_routing_gpt,configs/model/v3_routing_220m.yaml,2,256,5120,5120,10,1426.4367484670126,4366001152,4.366001152,8.078471183776855,7.6576313972473145,8.518356323242188,220146432,220146432,78588672,0.3569836280607991,2.3257247248958365e-05,2.3257247248958365e-05,6.514933857134015e-05,True,False
main_large_batch_sweep_b4_00_dense_121m,baseline_gpt,configs/model/dense_121m.yaml,4,256,10240,10240,10,3440.1134699979075,3039483904,3.039483904,7.745998382568359,7.470494508743286,8.074766635894775,120945408,120945408,120945408,1.0,8.466629836826876e-05,8.466629836826876e-05,8.466629836826876e-05,False,False
main_large_batch_sweep_b4_01_mla_121m,mla_gpt,configs/model/mla_121m.yaml,4,256,10240,10240,10,2981.8247299704667,3507910656,3.507910656,7.615643501281738,7.128243446350098,7.929117918014526,137460480,137460480,137460480,1.0,7.449413824249705e-05,7.449413824249705e-05,7.449413824249705e-05,False,False
main_large_batch_sweep_b4_02_mtp_121m,mtp_gpt,configs/model/mtp_121m.yaml,4,256,10240,10240,10,3067.3331446390657,3432570368,3.432570368,10.24261474609375,7.449462413787842,8.114138126373291,136305408,136305408,136305408,1.0,7.512541248546792e-05,7.512541248546792e-05,7.512541248546792e-05,False,True
main_large_batch_sweep_b4_03_moe_220m,moe_gpt,configs/model/moe_220m.yaml,4,256,10240,10240,10,2467.5093002096196,4588039168,4.588039168,7.911091327667236,7.444798231124878,8.112402439117432,220146432,220146432,78588672,0.3569836280607991,4.651449449791673e-05,4.651449449791673e-05,0.0001302986771426803,True,False
main_large_batch_sweep_b4_04_mla_moe_220m,mla_moe_gpt,configs/model/mla_moe_220m.yaml,4,256,10240,10240,10,2025.294664549623,4940050432,4.940050432,7.845773696899414,7.353614807128906,7.973087787628174,236661504,236661504,95103744,0.4018555717452045,4.326854949759805e-05,4.326854949759805e-05,0.00010767189144519905,True,False
main_large_batch_sweep_b4_05_v3_routing_220m,v3_routing_gpt,configs/model/v3_routing_220m.yaml,4,256,10240,10240,10,2610.472373901942,4563860480,4.56386048,7.758807182312012,7.43362832069397,8.119211196899414,220146432,220146432,78588672,0.3569836280607991,4.651449449791673e-05,4.651449449791673e-05,0.0001302986771426803,True,False
